;Speaker;date;fname;title;location;comment
M0068;McCain;July 9, 2008;McCainSpeeches0807.txt;Remarks by John McCain at his Ohio Town Hall Meeting;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at a town hall meeting in Portsmouth, OH
M0069;McCain;July 7, 2008;McCainSpeeches0807.txt;Remarks By John McCain On His Jobs For America Economic Plan;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at a town hall meeting in Denver, CO
M0070;McCain;July 1, 2008;McCainSpeeches0807.txt;Remarks By John McCain At The National Sheriffs' Association;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the National Sheriffs' Association's 68th Annual Conference in Indianapolis, IN
M0071;McCain;August 262008;McCainSpeeches0808.txt;Remarks By John McCain At the 90th Annual American Legion National Convention;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery at the 90th Annual American Legion National Convention in Phoenix, Arizona 
M0072;McCain;August 19, 2008;McCainSpeeches0808.txt;Energy Costs;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the 87th Annual Convention of the Disabled American Veterans in Las Vegas, NV
M0073;McCain;August 11, 2008;McCainSpeeches0808.txt;;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the 87th Annual Convention of the Disabled American Veterans in Las Vegas, NV
M0074;McCain;August 1, 2008;McCainSpeeches0808.txt;;;U.S. Senator John McCain will deliver the following remarks as prepared for delivery to the 2008 National Urban League Annual Conference in Orlando, Florida
M0075;McCain;September 5, 2008;McCainSpeeches0809.txt;John McCain's Acceptance Speech ;;
M0076;McCain;September 19, 2008;McCainSpeeches0809.txt;Remarks By John McCain On Our Financial Markets ; Green Bay, WI;U.S. Senator John McCain will deliver the following remarks as prepared for delivery
M0077;McCain;September 24, 2008;McCainSpeeches0809.txt;Remarks By John McCain On Our Financial Markets ; Freeland, MI;Remarks as prepared for delivery at Dow Corning  Freeland, MI
M0078;McCain;September 24, 2008;McCainSpeeches0809.txt;Remarks on the Economic Crisis ;;
M0079;McCain;September 29, 2008;McCainSpeeches0809.txt;Remarks By John McCain At Ohio Rally  ; Columbus, Ohio;U.S. Senator John McCain today delivered the following remarks as prepared for delivery at the McCain-Palin rally in Columbus, Ohio
M0080;McCain;October 1, 2008;McCainSpeeches0810.txt;Remarks By John McCain At Ohio Rally ; Missouri;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery in Independence, Missouri, at 10:00 a.m. CT (11:00 a.m. ET)
M0081;McCain;October 6, 2008;McCainSpeeches0810.txt;Remarks By John McCain At Ohio Rally ; Albuquerque, New Mexico;U.S. Senator John McCain today delivered the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Albuquerque, New Mexico
M0082;McCain;October 10, 2008;McCainSpeeches0810.txt;John McCain Remarks in La Crosse, WI; La Crosse, WI;
M0083;McCain;October 14, 2008;McCainSpeeches0810.txt;Remarks By John McCain On The Pension And Family Security Plan; Blue Bell, PA;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery on his Pension and Family Security Plan in Blue Bell, PA, at 11:30 a.m.
M0084;McCain;October 16, 2008;McCainSpeeches0810.txt;Remarks By John McCain In Downingtown, PA; Downingtown, PA;U.S. Senator John McCain today delivered the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Downingtown, PA
M0085;McCain;October 17, 2008;McCainSpeeches0810.txt;Remarks By John McCain In Miami, FL; Miami, FL;U.S. Senator John McCain today delivered the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Miami, FL, at 1:15 p.m
M0086;McCain;October 18, 2008;McCainSpeeches0810.txt;Remarks By John McCain In Concord, NC; Concord, NC;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Concord, NC, at 11:00 a.m. ET
M0087;McCain;October 20, 2008;McCainSpeeches0810.txt;Remarks By John McCain in Belton, MO; Belton, MO;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Belton, MO
M0088;McCain;October 22, 2008;McCainSpeeches0810.txt;Remarks By John McCain In Manchester, NH; Manchester, NH;U.S. Senator John McCain today delivered the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Manchester, NH
M0089;McCain;October 27, 2008;McCainSpeeches0810.txt;Remarks By John McCain in Dayton, OH; Dayton, OH;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Dayton, OH, at 1:45 p.m.
M0090;McCain;October 28, 2008;McCainSpeeches0810.txt;Remarks By John McCain In Hershey, PA; Hershey, PA;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Hershey, PA
M0091;McCain;October 28, 2008;McCainSpeeches0810.txt;Remarks by John McCain After Holding a Meeting on the State of our Economy; Cleveland, OH;U.S. Senator John McCain today delivered the following remarks as prepared for delivery after meeting with economic and business leaders in Cleveland, OH
M0093;McCain;October 29, 2008;McCainSpeeches0810.txt;Remarks by John McCain in Miami, FL; Miami, FL;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Miami, FL
M0094;McCain;30, October;McCainSpeeches0810.txt;Remarks by John McCain After Holding a National Security Roundtable Meeting; Tampa, FL;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery after holding a national security roundtable meeting in Tampa, FL
M0095;McCain;31, October;McCainSpeeches0810.txt;Remarks by John McCain in Columbus, OH; Columbus, OH;U.S. Senator John McCain today will deliver the following remarks as prepared for delivery at the McCain-Palin 2008 rally in Columbus, OH, at 5:45 p.m.
M0096;McCain;4, November;McCainSpeeches0811.txt;Sen. John McCain's Remarks As Delivered In Grand Junction, Colorado ; Grand Junction, CO;
M0097;McCain;5, November;McCainSpeeches0811.txt;Remarks by John McCain  ;;
O0001;Obama;February 10, 2007;ObamaSpeeches070402.txt;Full Text of Senator Barack Obama's Announcement for President; Springfield, IL;
O0002;Obama;March 04, 2007;ObamaSpeeches070402.txt;Selma Voting Rights March Commemoration; Selma, AL;
O0003;Obama;April 23, 2007;ObamaSpeeches070402.txt;The American Moment: Remarks to the Chicago Council on Global Affairs; Chicago, IL;
O0004;Obama;May 02, 2007;ObamaSpeeches0705.txt;Remarks of Senator Obama to the California State Democratic Convention; San Diego, CA;
O0005;Obama;May 05, 2007;ObamaSpeeches0705.txt;Remarks of Senator Barack Obama to the National Conference of Black Mayors; Baton Rouge, LA;
O0006;Obama;May 07, 2007;ObamaSpeeches0705.txt;Remarks of Senator Barack Obama to the Detroit Economic Club; Detroit, MI;
O0007;Obama;May 19, 2007;ObamaSpeeches0705.txt;Remarks at Southern New Hampshire University Commencement; Southern New Hampshire University;
O0008;Obama;May 29, 2007;ObamaSpeeches0705.txt;Cutting Costs and Covering America: A 21st Century Health Care System; University of Iowa;
O0009;Obama;June 05, 2007;ObamaSpeeches0706.txt;Remarks of Senator Barack Obama to the Hampton University Annual Ministers' Conference; Hampton, Virginia;
O0010;Obama;June 15, 2007;ObamaSpeeches0706.txt;Strengthening Families in a New Economy; Spartanburg, South Carolina;
O0011;Obama;June 19, 2007;ObamaSpeeches0706.txt;Remarks of Senator Barack Obama: Take Back America 2007; Washington, D.C.;
O0012;Obama;June 22, 2007;ObamaSpeeches0706.txt;Remarks of Senator Barack Obama: Taking Our Government Back; Manchester, NH;
O0013;Obama;June 23, 2007;ObamaSpeeches0706.txt;A Politics of Conscience; Hartford, CT;
O0014;Obama;July 05, 2007;ObamaSpeeches0707.txt;Remarks of Senator Barack Obama to the National Education Association Annual Meeting; Philadelphia, PA;
O0015;Obama;July 18, 2007;ObamaSpeeches0707.txt;Remarks of Senator Barack Obama: Changing the Odds for Urban America; Washington, DC;
O0016;Obama;July 22, 2007;ObamaSpeeches0707.txt;Remarks of Senator Barack Obama to the National Council of La Raza; Miami, FL;
O0017;Obama;July 26, 2007;ObamaSpeeches0707.txt;Remarks of Senator Barack Obama College Democrats of America; Columbia, SC;
O0018;Obama;August 01, 2007;ObamaSpeeches0708.txt;Remarks of Senator Obama: The War We Need to Win; Washington, DC;
O0019;Obama;August 21, 2007;ObamaSpeeches0708.txt;Remarks of Senator Obama: A Sacred Trust; Kansas City, MO;
O0020;Obama;September 03, 2007;ObamaSpeeches0709.txt;Remarks of Senator Barack Obama at Labor Day Rally; Manchester, N;
O0021;Obama;September 12, 2007;ObamaSpeeches0709.txt;Remarks of Senator Barack Obama: Turning the Page in Iraq; Clinton, IA;
O0022;Obama;September 17, 2007;ObamaSpeeches0709.txt;Remarks of Senator Barack Obama: Our Common Stake in America's Prosperity; New York, New York;
O0023;Obama;September 18, 2007;ObamaSpeeches0709.txt;Remarks of Senator Barack Obama: Tax Fairness for the Middle Class; Washington, DC;
O0024;Obama;September 28, 2007;ObamaSpeeches0709.txt;Remarks of Senator Barack Obama: Howard University Convocation; Washington, DC;
O0025;Obama;October 02, 2007;ObamaSpeeches0710.txt;Remarks of Senator Barack Obama: A New Beginning; Chicago, IL;
O0026;Obama;October 08, 2007;ObamaSpeeches0710.txt;Remarks of Senator Barack Obama: Real Leadership for a Clean Energy Future; Portsmouth, NH;
O0027;Obama;October 12, 2007;ObamaSpeeches0710.txt;Remarks of Senator Barack Obama: Lessons from Iraq; Des Moines, IA;
O0028;Obama;November 02, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: A Challenge for Our Times; Manning, SC;
O0029;Obama;November 03, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: A Change We Can Believe In; Spartanburg, SC;
O0030;Obama;November 07, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: Reclaiming the American Dream; Bettendorf, IA;
O0031;Obama;November 10, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: Iowa Jefferson-Jackson Dinner; Des Moines, IA;
O0032;Obama;November 13, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: United Auto Workers Conference; Dubuque, IA;
O0033;Obama;November 20, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: Our Kids, Our Future; Manchester, NH;
O0034;Obama;November 30, 2007;ObamaSpeeches0711.txt;Remarks of Senator Barack Obama: Democratic National Committee Fall Meeting; Washington, DC;
O0035;Obama;December 5, 2007;ObamaSpeeches0712.txt;Remarks of Senator Barack Obama A Call to Serve Wednesday; Mt. Vernon, IA;
O0036;Obama;December 18, 2007;ObamaSpeeches0712.txt;Remarks of Senator Barack Obama: Foreign Policy Forum; Des Moines, IA;
O0037;Obama;December 27, 2007;ObamaSpeeches0712.txt;Remarks of Senator Barack Obama: Our Moment Is Now; Des Moines, IA;
O0038;Obama;January 03, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: Iowa Caucus Night; Des Moines, I;
O0039;Obama;January 20, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: The Great Need of the Hour; Atlanta, GA;
O0040;Obama;January 26, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: South Carolina Victory Speech; Columbia, SC;
O0041;Obama;January 28, 2008;ObamaSpeeches0801.txt;Remarks for Senator Barack Obama: Kennedy Endorsement Event; Washington, DC;
O0042;Obama;January 28, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: Response to the State of the Union; Washington, DC;
O0043;Obama;January 29, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: Reclaiming the American Dream; El Dorado, KS;
O0044;Obama;January 30, 2008;ObamaSpeeches0801.txt;Remarks of Senator Barack Obama: The Past Versus the Future; Denver, CO;
O0045;Obama;February 05, 2008;ObamaSpeeches0802.txt;Remarks of Senator Barack Obama: Super Tuesday; Chicago, IL;
O0046;Obama;February 07, 2008;ObamaSpeeches0802.txt;Rebuilding Trust with New Orleans: Remarks of Senator Barack Obama; New Orleans, LA;
O0047;Obama;February 09, 2008;ObamaSpeeches0802.txt;Remarks of Senator Barack Obama: Virginia Jefferson-Jackson Dinner; Richmond, VA;
O0048;Obama;February 12, 2008;ObamaSpeeches0802.txt;Remarks of Senator Barack Obama: Potomac Primary Night; Madison, WI;
O0049;Obama;February 13, 2008;ObamaSpeeches0802.txt;Remarks of Senator Barack Obama: Keeping America's Promise; Janesville, WI;
O0050;Obama;February 24, 2008;ObamaSpeeches0802.txt;Remarks for Senator Barack Obama: National Gypsum in Lorain, Ohio; Lorain, OH;
O0051;Obama;March 04, 2008;ObamaSpeeches0803.txt;Remarks of Senator Barack Obama: March 4th Primary Night; San Antonio, TX;
O0052;Obama;March 12, 2008;ObamaSpeeches0803.txt;Remarks of Senator Barack Obama: Endorsement by US Admirals and Generals; Chicago, IL;
O0053;Obama;March 18, 2008;ObamaSpeeches0803.txt;Remarks of Senator Barack Obama: 'A More Perfect Union'; Philadelphia, PA;
O0054;Obama;March 19, 2008;ObamaSpeeches0803.txt;Remarks of Senator Barack Obama: The World Beyond Iraq; Fayetteville, NC;
O0055;Obama;March 20, 2008;ObamaSpeeches0803.txt;Remarks for Senator Barack Obama: The Cost of War; Charleston, WV;
O0056;Obama;March 27, 2008;ObamaSpeeches0803.txt;Remarks of Senator Barack Obama: Renewing the American Economy; New York, NY;
O0057;Obama;April 02, 2008;ObamaSpeeches0804.txt;Remarks for Senator Barack Obama: AFL-CIO; Philadelphia, PA;
O0058;Obama;April 04, 2008;ObamaSpeeches0804.txt;Remarks for Senator Barack Obama: Remembering Dr. Martin Luther King, Jr.; Fort Wayne, IN;
O0059;Obama;April 10, 2008;ObamaSpeeches0804.txt;Remarks of Senator Barack Obama: Gary, Indiana; Gary, IN;
