jid;LastName;FirstName;Gender;CourtType;President;Party 
21;Aldisert;Ruggero;Male;U.S. Court of Appeals;Lyndon B. Johnson;Democratic
22;Aldrich;Ann;Female;U.S. District Court;Jimmy Carter;Democratic
23;Aldrich;Bailey;Male;U.S. District Court;Dwight D. Eisenhower;Republican
24;Aldrich;Edgar;Male;U.S. District Court;Benjamin Harrison;Republican
25;Alesia;James;Male;U.S. District Court;Ronald Reagan;Republican
26;Alito;Samuel;Male;U.S. Court of Appeals;George H.W. Bush;Republican
3373;Allen;Arenda;Female;U.S. District Court;Barack Obama;Democratic
27;Allen;Charles;Male;U.S. District Court;Richard M. Nixon;Republican
28;Allen;Florence;Female;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
29;Allen;William;Male;U.S. District Court;Grover Cleveland;Democratic
30;Alley;Wayne;Male;U.S. District Court;Ronald Reagan;Republican
31;Allgood;Clarence;Male;U.S. District Court;John F. Kennedy;Democratic
32;Allred;James;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
2705;Almond;James;Male;Other;John F. Kennedy;Democratic
3576;Alonso;Jorge;Male;U.S. District Court;Barack Obama;Democratic
33;Alschuler;Samuel;Male;U.S. Court of Appeals;Woodrow Wilson;Democratic
34;Alsop;Donald;Male;U.S. District Court;Richard M. Nixon;Republican
6586021;Alston;Rossie;Male;U.S. District Court;Donald J. Trump;Republican
2827;Alsup;William;Male;U.S. District Court;William J. Clinton;Democratic
35;Altimari;Frank;Male;U.S. District Court;Ronald Reagan;Republican
6244926;Altman;Roy;Male;U.S. District Court;Donald J. Trump;Republican
2997;Altonaga;Cecilia;Female;U.S. District Court;George W. Bush;Republican
3080;Alvarez;Micaela;Female;U.S. District Court;George W. Bush;Republican
36;Alvey;Richard;Male;U.S. Court of Appeals;Grover Cleveland;Democratic
2850;Ambro;Thomas;Male;U.S. Court of Appeals;William J. Clinton;Democratic
37;Ambrose;Donetta;Female;U.S. District Court;William J. Clinton;Democratic
38;Amidon;Charles;Male;U.S. District Court;Grover Cleveland;Democratic
39;Amon;Carol;Female;U.S. District Court;George H.W. Bush;Republican
40;Andersen;Wayne;Male;U.S. District Court;George H.W. Bush;Republican
41;Anderson;Albert;Male;U.S. District Court;Theodore Roosevelt;Republican
42;Anderson;Aldon;Male;U.S. District Court;Richard M. Nixon;Republican
43;Anderson;George;Male;U.S. District Court;Jimmy Carter;Democratic
44;Anderson;George;Male;U.S. Court of Appeals;Woodrow Wilson;Democratic
45;Anderson;Harry;Male;U.S. District Court;Calvin Coolidge;Republican
46;Anderson;J.;Male;U.S. District Court;Richard M. Nixon;Republican
47;Anderson;Joseph;Male;U.S. District Court;Ronald Reagan;Republican
2928;Anderson;Percy;Male;U.S. District Court;George W. Bush;Republican
49;Anderson;Robert;Male;U.S. District Court;Dwight D. Eisenhower;Republican
48;Anderson;R[obert];Male;U.S. Court of Appeals;Jimmy Carter;Democratic
3173;Anderson;Stanley;Male;U.S. District Court;George W. Bush;Republican
50;Anderson;Stephen;Male;U.S. Court of Appeals;Ronald Reagan;Republican
51;Anderson;Thomas;Male;U.S. District Court;William McKinley;Republican
2691;Andrews;Maurice;Male;U.S. District Court;Harry S Truman;Democratic
3402;Andrews;Richard;Male;U.S. District Court;Barack Obama;Democratic
3188;Anello;Michael;Male;U.S. District Court;George W. Bush;Republican
52;Angell;Alexis;Male;U.S. District Court;William H. Taft;Republican
2857;Antoon;John;Male;U.S. District Court;William J. Clinton;Democratic
3197;Aquilino;Thomas;Male;Other;Ronald Reagan;Republican
54;Arant;Herschel;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
55;Arcara;Richard;Male;U.S. District Court;Ronald Reagan;Republican
56;Arceneaux;George;Male;U.S. District Court;Jimmy Carter;Democratic
57;Archbald;Robert;Male;U.S. District Court;William McKinley;Republican
58;Archer;Glenn;Male;U.S. Court of Appeals;Ronald Reagan;Republican
3190;Arguello;Christine;Female;U.S. District Court;George W. Bush;Republican
6385001;Arias-Marxuach;Ra�l;Male;U.S. District Court;Donald J. Trump;Republican
3568;Arleo;Madeline;Female;U.S. District Court;Barack Obama;Democratic
2898;Armijo;M.;Female;U.S. District Court;George W. Bush;Republican
59;Armstrong;Saundra;Female;U.S. District Court;George H.W. Bush;Republican
60;Arnold;Morris;Male;U.S. District Court;Ronald Reagan;Republican
61;Arnold;Richard;Male;U.S. District Court;Jimmy Carter;Democratic
62;Arnold;Thurman;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
63;Arnow;Winston;Male;U.S. District Court;Lyndon B. Johnson;Democratic
64;Aronovitz;Sidney;Male;U.S. District Court;Gerald Ford;Republican
65;Arraj;Alfred;Male;U.S. District Court;Dwight D. Eisenhower;Republican
66;Arterton;Janet;Female;U.S. District Court;William J. Clinton;Democratic
5153446;Ashe;Barry;Male;U.S. District Court;Donald J. Trump;Republican
67;Aspen;Marvin;Male;U.S. District Court;Jimmy Carter;Democratic
68;Atkins;Carl;Male;U.S. District Court;Lyndon B. Johnson;Democratic
3244;Atkinson;George;Male;Other;Theodore Roosevelt;Republican
69;Atlas;Nancy;Female;U.S. District Court;William J. Clinton;Democratic
70;Atwell;William;Male;U.S. District Court;Warren G. Harding;Republican
71;Augelli;Anthony;Male;U.S. District Court;John F. Kennedy;Democratic
72;Austin;Richard;Male;U.S. District Court;John F. Kennedy;Democratic
2949;Autrey;Henry;Male;U.S. District Court;George W. Bush;Republican
73;Avis;John;Male;U.S. District Court;Herbert Hoover;Republican
4738061;Axon;Annemarie;Female;U.S. District Court;Donald J. Trump;Republican
3161;Aycock;Sharion;Female;U.S. District Court;George W. Bush;Republican
3577;Azrack;Joan;Female;U.S. District Court;Barack Obama;Democratic
74;Babcock;Lewis;Male;U.S. District Court;Ronald Reagan;Republican
3459;Bacharach;Robert;Male;U.S. Court of Appeals;Barack Obama;Democratic
6202901;Bade;Bridget;Female;U.S. Court of Appeals;Donald J. Trump;Republican
75;Baer;Harold;Male;U.S. District Court;William J. Clinton;Democratic
3141;Bailey;John;Male;U.S. District Court;George W. Bush;Republican
76;Bailey;Thomas;Male;U.S. District Court;Woodrow Wilson;Democratic
77;Baird;Lourdes;Female;U.S. District Court;George H.W. Bush;Republican
78;Baker;Francis;Male;U.S. Circuit Court (1869-1911);Theodore Roosevelt;Republican
79;Baker;Harold;Male;U.S. District Court;Jimmy Carter;Democratic
80;Baker;John;Male;U.S. District Court;Benjamin Harrison;Republican
3427;Baker;Kristine;Female;U.S. District Court;Barack Obama;Democratic
5152936;Baker;R.;Male;U.S. District Court;Donald J. Trump;Republican
81;Baker;William;Male;U.S. District Court;Warren G. Harding;Republican
82;Baldock;Bobby;Male;U.S. District Court;Ronald Reagan;Republican
83;Baldwin;Alexander;Male;U.S. District Court;Abraham Lincoln;Republican
84;Baldwin;Henry;Male;Supreme Court;Andrew Jackson;Democratic
85;Baldwin;James;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
86;Baldwin;Phillip;Male;Other;Lyndon B. Johnson;Democratic
87;Ballantine;Thomas;Male;U.S. District Court;Jimmy Carter;Democratic
88;Ballard;Bland;Male;U.S. District Court;Abraham Lincoln;Republican
89;Baltzell;Robert;Male;U.S. District Court;Calvin Coolidge;Republican
90;Barbadoro;Paul;Male;U.S. District Court;George H.W. Bush;Republican
3329;Barber;Orion;Male;Other;William H. Taft;Republican
6595046;Barber;Thomas;Male;U.S. District Court;Donald J. Trump;Republican
2808;Barbier;Carl;Male;U.S. District Court;William J. Clinton;Democratic
91;Barbour;Philip;Male;U.S. District Court;Andrew Jackson;Democratic
92;Barbour;William;Male;U.S. District Court;Ronald Reagan;Republican
93;Bard;Guy;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
6379986;Barker;J.;Male;U.S. District Court;Donald J. Trump;Republican
6594531;Barker;Pamela;Female;U.S. District Court;Donald J. Trump;Republican
94;Barker;Sarah;Female;U.S. District Court;Ronald Reagan;Republican
95;Barker;William;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
96;Barkett;Rosemary;Female;U.S. Court of Appeals;William J. Clinton;Democratic
97;Barksdale;Alfred;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
98;Barksdale;Rhesa;Male;U.S. Court of Appeals;George H.W. Bush;Republican
99;Barlow;George;Male;U.S. District Court;Richard M. Nixon;Republican
100;Barnard;Job;Male;U.S. District Court;William McKinley;Republican
101;Barnes;David;Male;U.S. District Court;Thomas Jefferson;Jeffersonian Republican
102;Barnes;Harry;Male;U.S. District Court;William J. Clinton;Democratic
103;Barnes;John;Male;U.S. District Court;Herbert Hoover;Republican
104;Barnes;Stanley;Male;U.S. Court of Appeals;Dwight D. Eisenhower;Republican
3478;Barnett;Mark;Male;Other;Barack Obama;Democratic
3235;Barney;Samuel;Male;Other;Theodore Roosevelt;Republican
105;Barr;John;Male;U.S. District Court;Rutherford B. Hayes;Republican
3979311;Barrett;Amy;Female;U.S. Court of Appeals;Donald J. Trump;Republican
106;Barrett;James;Male;U.S. Court of Appeals;Richard M. Nixon;Republican
3110;Barrett;Michael;Male;U.S. District Court;George W. Bush;Republican
107;Barrett;William;Male;U.S. District Court;Warren G. Harding;Republican
3540;Barron;David;Male;U.S. Court of Appeals;Barack Obama;Democratic
108;Barrow;Allen;Male;U.S. District Court;John F. Kennedy;Democratic
109;Barry;Maryanne;Female;U.S. District Court;Ronald Reagan;Republican
110;Bartels;John;Male;U.S. District Court;Dwight D. Eisenhower;Republican
111;Bartle;Harvey;Male;U.S. District Court;George H.W. Bush;Republican
112;Bartlett;D.;Male;U.S. District Court;Ronald Reagan;Republican
3198;Barzilay;Judith;Female;Other;William J. Clinton;Democratic
3524;Bashant;Cynthia;Female;U.S. District Court;Barack Obama;Democratic
113;Bassett;Richard;Male;U.S. Circuit Court (1801-1802);John Adams;Federalist
114;Bassler;William;Male;U.S. District Court;George H.W. Bush;Republican
3525;Bastian;Stanley;Male;U.S. District Court;Barack Obama;Democratic
115;Bastian;Walter;Male;U.S. District Court;Harry S Truman;Democratic
2718;Bataillon;Joseph;Male;U.S. District Court;William J. Clinton;Democratic
116;Batchelder;Alice;Female;U.S. District Court;Ronald Reagan;Republican
2909;Bates;John;Male;U.S. District Court;George W. Bush;Republican
3360;Battaglia;Anthony;Male;U.S. District Court;Barack Obama;Democratic
2858;Battani;Marianne;Female;U.S. District Court;William J. Clinton;Democratic
3102;Batten;Timothy;Male;U.S. District Court;George W. Bush;Republican
117;Battey;Richard;Male;U.S. District Court;Ronald Reagan;Republican
118;Battin;James;Male;U.S. District Court;Richard M. Nixon;Republican
119;Battisti;Frank;Male;U.S. District Court;John F. Kennedy;Democratic
120;Batts;Deborah;Female;U.S. District Court;William J. Clinton;Democratic
121;Batts;Robert;Male;U.S. Court of Appeals;Woodrow Wilson;Democratic
122;Bauer;William;Male;U.S. District Court;Richard M. Nixon;Republican
123;Bauman;Arnold;Male;U.S. District Court;Richard M. Nixon;Republican
124;Baxter;John;Male;U.S. Circuit Court (1869-1911);Rutherford B. Hayes;Republican
5153456;Baxter;Susan;Female;U.S. District Court;Donald J. Trump;Republican
2941;Baylson;Michael;Male;U.S. District Court;George W. Bush;Republican
125;Bazelon;David;Male;U.S. Court of Appeals;Harry S Truman;Democratic
3036;Bea;Carlos;Male;U.S. Court of Appeals;George W. Bush;Republican
126;Beam;C[larence];Male;U.S. District Court;Ronald Reagan;Republican
127;Beamer;George;Male;U.S. District Court;John F. Kennedy;Democratic
128;Bean;Robert;Male;U.S. District Court;William H. Taft;Republican
129;Beattie;Charlton;Male;U.S. District Court;Calvin Coolidge;Republican
130;Beatty;James;Male;U.S. District Court;Benjamin Harrison;Republican
131;Beatty;William;Male;U.S. District Court;Jimmy Carter;Democratic
132;Beaty;James;Male;U.S. District Court;William J. Clinton;Democratic
133;Beaumont;Campbell;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
5018781;Beaverstock;Jeffrey;Male;U.S. District Court;Donald J. Trump;Republican
134;Bechtle;Louis;Male;U.S. District Court;Richard M. Nixon;Republican
135;Beck;Axel;Male;U.S. District Court;Dwight D. Eisenhower;Republican
136;Becker;Edward;Male;U.S. District Court;Richard M. Nixon;Republican
137;Becker;William;Male;U.S. District Court;John F. Kennedy;Democratic
138;Beckwith;Sandra;Female;U.S. District Court;George H.W. Bush;Republican
3297;Beckworth;Lindley;Male;Other;Lyndon B. Johnson;Democratic
139;Bedford;Gunning;Male;U.S. District Court;George Washington;
140;Bee;Thomas;Male;U.S. District Court;George Washington;
141;Beeks;William;Male;U.S. District Court;John F. Kennedy;Democratic
142;Beer;Peter;Male;U.S. District Court;Jimmy Carter;Democratic
3569;Beetlestone;Wendy;Female;U.S. District Court;Barack Obama;Democratic
143;Beezer;Robert;Male;U.S. Court of Appeals;Ronald Reagan;Republican
2924;Beistline;Ralph;Male;U.S. District Court;George W. Bush;Republican
144;Belew;David;Male;U.S. District Court;Jimmy Carter;Democratic
145;Bell;Griffin;Male;U.S. Court of Appeals;John F. Kennedy;Democratic
146;Bell;J.;Male;U.S. Court of Appeals;John F. Kennedy;Democratic
6489616;Bell;Kenneth;Male;U.S. District Court;Donald J. Trump;Republican
147;Bell;Robert;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
148;Bell;Robert;Male;U.S. District Court;Ronald Reagan;Republican
149;Bell;Samuel;Male;U.S. District Court;Ronald Reagan;Republican
150;Bellinger;Charles;Male;U.S. District Court;Grover Cleveland;Democratic
151;Belloni;Robert;Male;U.S. District Court;Lyndon B. Johnson;Democratic
152;Belot;Monti;Male;U.S. District Court;George H.W. Bush;Republican
153;Benavides;Fortunato;Male;U.S. Court of Appeals;William J. Clinton;Democratic
3411;Bencivengo;Cathy;Female;U.S. District Court;Barack Obama;Democratic
154;Benedict;Charles;Male;U.S. District Court;Abraham Lincoln;Republican
3066;Benitez;Roger;Male;U.S. District Court;George W. Bush;Republican
3588;Bennett;Alfred;Male;U.S. District Court;Barack Obama;Democratic
155;Bennett;Marion;Male;Other;Richard M. Nixon;Republican
4908101;Bennett;Mark;Male;U.S. Court of Appeals;Donald J. Trump;Republican
156;Bennett;Mark;Male;U.S. District Court;William J. Clinton;Democratic
2996;Bennett;Richard;Male;U.S. District Court;George W. Bush;Republican
157;Benson;Dee;Male;U.S. District Court;George H.W. Bush;Republican
158;Benson;Egbert;Male;U.S. Circuit Court (1801-1802);John Adams;Federalist
160;Benson;Paul;Male;U.S. District Court;Richard M. Nixon;Republican
3070;Benton;William;Male;U.S. Court of Appeals;George W. Bush;Republican
3448;Berg;Terrence;Male;U.S. District Court;Barack Obama;Democratic
3223;Berger;Irene;Female;U.S. District Court;Barack Obama;Democratic
2791;Berman;Richard;Male;U.S. District Court;William J. Clinton;Democratic
3450;Bernal;Jesus;Male;U.S. District Court;Barack Obama;Democratic
161;Berrigan;Helen;Female;U.S. District Court;William J. Clinton;Democratic
162;Bertelsman;William;Male;U.S. District Court;Jimmy Carter;Democratic
2856;Berzon;Marsha;Female;U.S. Court of Appeals;William J. Clinton;Democratic
3130;Besosa;Francisco;Male;U.S. District Court;George W. Bush;Republican
163;Bethea;Solomon;Male;U.S. District Court;Theodore Roosevelt;Republican
164;Betts;Samuel;Male;U.S. District Court;John Quincy Adams;Jeffersonian Republican
3095;Bianco;Joseph;Male;U.S. District Court;George W. Bush;Republican
3989731;Bibas;Stephanos;Male;U.S. Court of Appeals;Donald J. Trump;Republican
165;Bicks;Alexander;Male;U.S. District Court;Dwight D. Eisenhower;Republican
166;Biddle;Francis;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
167;Biery;Samuel;Male;U.S. District Court;William J. Clinton;Democratic
168;Biggers;Neal;Male;U.S. District Court;Ronald Reagan;Republican
169;Biggs;Asa;Male;U.S. District Court;James Buchanan;Democratic
170;Biggs;John;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
3578;Biggs;Loretta;Female;U.S. District Court;Barack Obama;Democratic
171;Bilby;Richard;Male;U.S. District Court;Jimmy Carter;Democratic
172;Billings;Edward;Male;U.S. District Court;Ulysses Grant;Republican
173;Billings;Franklin;Male;U.S. District Court;Ronald Reagan;Republican
174;Bingham;Edward;Male;U.S. District Court;Grover Cleveland;Democratic
175;Bingham;George;Male;U.S. Court of Appeals;Woodrow Wilson;Democratic
176;Birch;Stanley;Male;U.S. Court of Appeals;George H.W. Bush;Republican
3556;Birotte;Andre;Male;U.S. District Court;Barack Obama;Democratic
177;Bissell;Jean;Female;U.S. Court of Appeals;Ronald Reagan;Republican
178;Bissell;John;Male;U.S. District Court;Ronald Reagan;Republican
3396;Bissoon;Cathy;Female;U.S. District Court;Barack Obama;Democratic
179;Biunno;Vincent;Male;U.S. District Court;Richard M. Nixon;Republican
180;Black;Bruce;Male;U.S. District Court;William J. Clinton;Democratic
181;Black;Hugo;Male;Supreme Court;Franklin D. Roosevelt;Democratic
182;Black;Lloyd;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
183;Black;Norman;Male;U.S. District Court;Jimmy Carter;Democratic
184;Black;Susan;Female;U.S. District Court;Jimmy Carter;Democratic
3259;Black;Timothy;Male;U.S. District Court;Barack Obama;Democratic
185;Black;Walter;Male;U.S. District Court;Ronald Reagan;Republican
2922;Blackburn;Robert;Male;U.S. District Court;George W. Bush;Republican
186;Blackburn;Sharon;Female;U.S. District Court;George H.W. Bush;Republican
3234;Blackford;Isaac;Male;Other;Franklin Pierce;Democratic
187;Blackmun;Harry;Male;U.S. Court of Appeals;Dwight D. Eisenhower;Republican
188;Blair;Charles;Male;U.S. District Court;Richard M. Nixon;Republican
189;Blair;John;Male;Supreme Court;George Washington;
190;Blake;Catherine;Female;U.S. District Court;William J. Clinton;Democratic
3579;Blakey;John;Male;U.S. District Court;Barack Obama;Democratic
3330;Bland;Oscar;Male;Other;Warren G. Harding;Republican
191;Bland;Theodorick;Male;U.S. District Court;James Monroe;Jeffersonian Republican
192;Blatchford;Samuel;Male;U.S. District Court;Andrew Johnson;Democratic
193;Blatt;Solomon;Male;U.S. District Court;Richard M. Nixon;Republican
194;Bledsoe;Benjamin;Male;U.S. District Court;Woodrow Wilson;Democratic
195;Bloch;Alan;Male;U.S. District Court;Jimmy Carter;Democratic
196;Block;Frederic;Male;U.S. District Court;William J. Clinton;Democratic
197;Blodgett;Henry;Male;U.S. District Court;Ulysses Grant;Republican
3552;Bloom;Beth;Female;U.S. District Court;Barack Obama;Democratic
198;Blumenfeld;Mosher;Male;U.S. District Court;John F. Kennedy;Democratic
199;Boarman;Alexander;Male;U.S. District Court;James A. Garfield;Republican
3363;Boasberg;James;Male;U.S. District Court;Barack Obama;Democratic
200;Bodine;Joseph;Male;U.S. District Court;Woodrow Wilson;Democratic
201;Body;Ralph;Male;U.S. District Court;John F. Kennedy;Democratic
3199;Boe;Nils;Male;Other;Richard M. Nixon;Republican
202;Boggs;Danny;Male;U.S. Court of Appeals;Ronald Reagan;Republican
203;Bogue;Andrew;Male;U.S. District Court;Richard M. Nixon;Republican
204;Bohanon;Luther;Male;U.S. District Court;John F. Kennedy;Democratic
3570;Bolden;Victor;Male;U.S. District Court;Barack Obama;Democratic
205;Boldt;George;Male;U.S. District Court;Dwight D. Eisenhower;Republican
2884;Bolton;Susan;Female;U.S. District Court;William J. Clinton;Democratic
206;Bond;Hugh;Male;U.S. Circuit Court (1869-1911);Ulysses Grant;Republican
207;Bondy;William;Male;U.S. District Court;Warren G. Harding;Republican
208;Bone;Homer;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
209;Bonner;Robert;Male;U.S. District Court;George H.W. Bush;Republican
210;Bonsal;Dudley;Male;U.S. District Court;John F. Kennedy;Democratic
211;Boochever;Robert;Male;U.S. Court of Appeals;Jimmy Carter;Democratic
4444651;Boom;Claria;Female;U.S. District Court;Donald J. Trump;Republican
3274;Booth;Fenton;Male;Other;Theodore Roosevelt;Republican
212;Booth;Wilbur;Male;U.S. District Court;Woodrow Wilson;Democratic
213;Bootle;William;Male;U.S. District Court;Dwight D. Eisenhower;Republican
214;Borah;Wayne;Male;U.S. District Court;Calvin Coolidge;Republican
215;Boreman;Herbert;Male;U.S. District Court;Dwight D. Eisenhower;Republican
216;Bork;Robert;Male;U.S. Court of Appeals;Ronald Reagan;Republican
217;Borman;Paul;Male;U.S. District Court;William J. Clinton;Democratic
218;Boudin;Michael;Male;U.S. District Court;George H.W. Bush;Republican
3580;Bough;Stephen;Male;U.S. District Court;Barack Obama;Democratic
6595551;Boulee;Jean-Paul;Male;U.S. District Court;Donald J. Trump;Republican
3546;Boulware;Richard;Male;U.S. District Court;Barack Obama;Democratic
219;Bourne;Benjamin;Male;U.S. District Court;George Washington;
220;Bourquin;George;Male;U.S. District Court;William H. Taft;Republican
2899;Bowdre;Karon;Female;U.S. District Court;George W. Bush;Republican
221;Bowen;Dudley;Male;U.S. District Court;Jimmy Carter;Democratic
222;Bowen;John;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
223;Bowman;Pasco;Male;U.S. Court of Appeals;Ronald Reagan;Republican
224;Bownes;Hugh;Male;U.S. District Court;Lyndon B. Johnson;Democratic
225;Boyce;Henry;Male;U.S. District Court;Zachary Taylor;Whig
226;Boyd;James;Male;U.S. District Court;William McKinley;Republican
227;Boyd;Marion;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
3082;Boyko;Christopher;Male;U.S. District Court;George W. Bush;Republican
228;Boyle;Edward;Male;U.S. District Court;Lyndon B. Johnson;Democratic
229;Boyle;Francis;Male;U.S. District Court;Jimmy Carter;Democratic
3067;Boyle;Jane;Female;U.S. District Court;George W. Bush;Republican
230;Boyle;John;Male;U.S. District Court;John Quincy Adams;Jeffersonian Republican
231;Boyle;Patricia;Female;U.S. District Court;Jimmy Carter;Democratic
232;Boyle;Terrence;Male;U.S. District Court;Ronald Reagan;Republican
233;Boynton;Charles;Male;U.S. District Court;Calvin Coolidge;Republican
234;Boynton;Thomas;Male;U.S. District Court;Abraham Lincoln;Republican
3012;Brack;Robert;Male;U.S. District Court;George W. Bush;Republican
235;Bradford;Edward;Male;U.S. District Court;Ulysses Grant;Republican
236;Bradford;Edward;Male;U.S. District Court;William McKinley;Republican
237;Bradley;Andrew;Male;U.S. District Court;Benjamin Harrison;Republican
238;Bradley;Joseph;Male;Supreme Court;Ulysses Grant;Republican
6278456;Brady;Holly;Female;U.S. District Court;Donald J. Trump;Republican
2859;Brady;James;Male;U.S. District Court;William J. Clinton;Democratic
239;Bramlette;David;Male;U.S. District Court;George H.W. Bush;Republican
240;Bramwell;Henry;Male;U.S. District Court;Gerald Ford;Republican
4237586;Branch;Elizabeth;Female;U.S. Court of Appeals;Donald J. Trump;Republican
241;Brandeis;Louis;Male;Supreme Court;Woodrow Wilson;Democratic
3455;Brann;Matthew;Male;U.S. District Court;Barack Obama;Democratic
5153461;Brasel;Nancy;Female;U.S. District Court;Donald J. Trump;Republican
6383991;Brasher;Andrew;Male;U.S. District Court;Donald J. Trump;Republican
242;Bratcher;Clifton;Male;U.S. District Court;Richard M. Nixon;Republican
243;Bratton;Howard;Male;U.S. District Court;Lyndon B. Johnson;Democratic
244;Bratton;Sam;Male;U.S. Court of Appeals;Franklin D. Roosevelt;Democratic
245;Brawley;William;Male;U.S. District Court;Grover Cleveland;Democratic
246;Brearley;David;Male;U.S. District Court;George Washington;
3335;Bredar;James;Male;U.S. District Court;Barack Obama;Democratic
2987;Breen;J.;Male;U.S. District Court;George W. Bush;Republican
247;Breitenstein;Jean;Male;U.S. District Court;Dwight D. Eisenhower;Republican
4602991;Brennan;Michael;Male;U.S. Court of Appeals;Donald J. Trump;Republican
248;Brennan;Stephen;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
249;Brennan;William;Male;Supreme Court;Dwight D. Eisenhower;Republican
250;Brett;Thomas;Male;U.S. District Court;Jimmy Carter;Democratic
251;Brewer;David;Male;U.S. Circuit Court (1869-1911);Chester A. Arthur;Republican
252;Brewster;Elisha;Male;U.S. District Court;Warren G. Harding;Republican
253;Brewster;Leo;Male;U.S. District Court;John F. Kennedy;Democratic
254;Brewster;Rudi;Male;U.S. District Court;Ronald Reagan;Republican
2719;Breyer;Charles;Male;U.S. District Court;William J. Clinton;Democratic
255;Breyer;Stephen;Male;U.S. Court of Appeals;Jimmy Carter;Democratic
3367;Briccetti;Vincent;Male;U.S. District Court;Barack Obama;Democratic
256;Brieant;Charles;Male;U.S. District Court;Richard M. Nixon;Republican
257;Briggle;Charles;Male;U.S. District Court;Herbert Hoover;Republican
258;Bright;John;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
259;Bright;Myron;Male;U.S. Court of Appeals;Lyndon B. Johnson;Democratic
260;Brimmer;Clarence;Male;U.S. District Court;Gerald Ford;Republican
3191;Brimmer;Philip;Male;U.S. District Court;George W. Bush;Republican
261;Brinkema;Leonie;Female;U.S. District Court;William J. Clinton;Democratic
262;Briones;David;Male;U.S. District Court;William J. Clinton;Democratic
263;Briscoe;Mary;Female;U.S. Court of Appeals;William J. Clinton;Democratic
264;Bristol;William;Male;U.S. District Court;John Quincy Adams;Jeffersonian Republican
265;Britt;William;Male;U.S. District Court;Jimmy Carter;Democratic
5375096;Brnovich;Susan;Female;U.S. District Court;Donald J. Trump;Republican
266;Broaddus;Bower;Male;U.S. District Court;Franklin D. Roosevelt;Democratic
267;Broadwater;W.;Male;U.S. District Court;William J. Clinton;Democratic
268;Brockenbrough;John;Male;U.S. District Court;James K. Polk;Democratic
269;Broderick;Raymond;Male;U.S. District Court;Richard M. Nixon;Republican
3488;Broderick;Vernon;Male;U.S. District Court;Barack Obama;Democratic
